site_id,site_label,subset_key,subset_label,sample_idx,frac_loss,abs_loss,old_fraction
US-EML,Eight-mile Lake,stocks_only,Stocks,5,0.15500311803086259,3164.2764892578125,0.6316423754206139
US-EML,Eight-mile Lake,soil14c_only,Pool 14C,0,0.20814973894907587,8540.47607421875,0.3186931018012231
US-EML,Eight-mile Lake,soil14c_only,Pool 14C,1,0.20814973894907587,8540.47607421875,0.3186931018012231
US-EML,Eight-mile Lake,soil14c_only,Pool 14C,2,0.2111854154900294,8583.93798828125,0.3377168996523553
US-EML,Eight-mile Lake,soil14c_only,Pool 14C,3,0.21132582146282666,8570.693359375,0.33352609221544144
US-EML,Eight-mile Lake,soil14c_only,Pool 14C,4,0.21275025259830274,8603.11669921875,0.34485073138633165
US-EML,Eight-mile Lake,soil14c_only,Pool 14C,5,0.2147324962367245,8756.53662109375,0.3975876946766694
US-EML,Eight-mile Lake,resp14c_only,Resp 14C,0,0.19637562621115734,8361.173828125,0.39572647370754493
US-EML,Eight-mile Lake,resp14c_only,Resp 14C,1,0.19637562621115734,8361.173828125,0.39572647370754493
US-EML,Eight-mile Lake,resp14c_only,Resp 14C,2,0.20896495373679094,8278.51171875,0.3481576893757331
US-EML,Eight-mile Lake,resp14c_only,Resp 14C,3,0.18744436692117594,8299.23828125,0.371965175582134
US-EML,Eight-mile Lake,resp14c_only,Resp 14C,4,0.17915102791749835,8452.689453125,0.43998808146489893
US-EML,Eight-mile Lake,resp14c_only,Resp 14C,5,0.15969342826923547,8531.8447265625,0.4759608258638397
US-EML,Eight-mile Lake,stocks_soil14c,"Stocks+
Pool 14C",0,0.19734864699442747,8285.162109375,0.24091143420646552
US-EML,Eight-mile Lake,stocks_soil14c,"Stocks+
Pool 14C",1,0.19432032185612186,8279.23876953125,0.24413725112893203
US-EML,Eight-mile Lake,stocks_soil14c,"Stocks+
Pool 14C",2,0.1953525834273314,8310.51123046875,0.2494155321103644
US-EML,Eight-mile Lake,stocks_soil14c,"Stocks+
Pool 14C",3,0.19543817702503932,8264.33740234375,0.23919279181522368
US-EML,Eight-mile Lake,stocks_soil14c,"Stocks+
Pool 14C",4,0.19543817702503932,8264.33740234375,0.23919279181522368
US-EML,Eight-mile Lake,stocks_soil14c,"Stocks+
Pool 14C",5,0.19466332273234926,8220.0546875,0.23088149166853883
US-EML,Eight-mile Lake,stocks_resp14c,"Stocks+
Resp 14C",0,0.21598686073402557,8301.2001953125,0.3350934594058603
US-EML,Eight-mile Lake,stocks_resp14c,"Stocks+
Resp 14C",1,0.20830628102031984,8283.5283203125,0.33870331426461486
US-EML,Eight-mile Lake,stocks_resp14c,"Stocks+
Resp 14C",2,0.20293834294886956,8312.392578125,0.3589687245837255
US-EML,Eight-mile Lake,stocks_resp14c,"Stocks+
Resp 14C",3,0.19817860534295878,8263.0693359375,0.3360176714982187
US-EML,Eight-mile Lake,stocks_resp14c,"Stocks+
Resp 14C",4,0.18824482555612912,8395.970703125,0.4036614794866831
US-EML,Eight-mile Lake,stocks_resp14c,"Stocks+
Resp 14C",5,0.18711794947671428,8358.6015625,0.3865256544449688
US-EML,Eight-mile Lake,all_observations,All,0,0.20740378619624888,8271.14794921875,0.23878431915377585
US-EML,Eight-mile Lake,all_observations,All,1,0.20740378619624888,8271.14794921875,0.23878431915377585
US-EML,Eight-mile Lake,all_observations,All,2,0.20740378619624888,8271.14794921875,0.23878431915377585
US-EML,Eight-mile Lake,all_observations,All,3,0.21568932342427566,8247.52392578125,0.23267160731862913
US-EML,Eight-mile Lake,all_observations,All,4,0.21568932342427566,8247.52392578125,0.23267160731862913
US-EML,Eight-mile Lake,all_observations,All,5,0.21783337005382902,8165.94921875,0.2088197564763475
