site,site_id,param_index_subset,param_name,param_label_short,obs_index,obs_block_name,obs_family,obs_label_short,obs_label_full,y_obs,y_prior,y_opt,obs_sigma,obs_variance,gain_value,abs_gain_value,rank_within_param_by_abs_gain
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,15,resp_14C,resp_delta14C,resp[16],resp_14C[16],122.77144622802734,307.1606750488281,108.77448272705078,15.0,225.0,0.0006148417771756841,0.0006148417771756841,14
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,16,resp_14C,resp_delta14C,resp[17],resp_14C[17],120.05235290527344,307.1628112792969,108.76177978515625,15.0,225.0,0.0006155026549433468,0.0006155026549433468,13
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,17,resp_14C,resp_delta14C,resp[18],resp_14C[18],107.79945373535156,307.18109130859375,108.75013732910156,15.0,225.0,0.0006163104368523871,0.0006163104368523871,12
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,18,resp_14C,resp_delta14C,resp[19],resp_14C[19],119.70320129394531,307.3861389160156,108.13028717041016,15.0,225.0,0.0006497738709144903,0.0006497738709144903,8
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,19,resp_14C,resp_delta14C,resp[20],resp_14C[20],114.34712982177734,302.12091064453125,107.26660919189453,15.0,225.0,0.0006374289200955552,0.0006374289200955552,9
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,20,resp_14C,resp_delta14C,resp[21],resp_14C[21],104.18087005615234,291.1162109375,105.6877212524414,15.0,225.0,0.0006019786738036684,0.0006019786738036684,15
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,21,resp_14C,resp_delta14C,resp[22],resp_14C[22],100.25813293457031,282.7997741699219,104.24925994873047,15.0,225.0,0.0005881831887938453,0.0005881831887938453,17
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,22,resp_14C,resp_delta14C,resp[23],resp_14C[23],99.98873901367188,277.275390625,103.07030487060547,15.0,225.0,0.00058930425385713,0.00058930425385713,16
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,23,resp_14C,resp_delta14C,resp[24],resp_14C[24],104.9538345336914,283.1192626953125,100.32575225830078,15.0,225.0,0.0007499516478137494,0.0007499516478137494,5
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,24,resp_14C,resp_delta14C,resp[25],resp_14C[25],91.1726303100586,273.7500915527344,99.00109100341797,15.0,225.0,0.0007037208526480636,0.0007037208526480636,6
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,25,resp_14C,resp_delta14C,resp[26],resp_14C[26],102.58723449707031,264.3684997558594,97.6373062133789,15.0,225.0,0.0006592944138652277,0.0006592944138652277,7
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,26,resp_14C,resp_delta14C,resp[27],resp_14C[27],105.08200073242188,254.3699188232422,95.97330474853516,15.0,225.0,0.0006181379297030321,0.0006181379297030321,10
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,27,resp_14C,resp_delta14C,resp[28],resp_14C[28],117.83086395263672,254.2222137451172,95.93190002441406,15.0,225.0,0.0006179828359525987,0.0006179828359525987,11
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,28,resp_14C,resp_delta14C,resp[29],resp_14C[29],86.36949920654297,217.25071716308594,81.06224060058594,15.0,225.0,0.00046497787014522296,0.00046497787014522296,20
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,29,resp_14C,resp_delta14C,resp[30],resp_14C[30],68.09839630126953,203.5430450439453,65.74876403808594,15.0,225.0,6.526215637189146e-05,6.526215637189146e-05,41
