site_name,lat,lon,layer_obs,layer_entries,layer_entry_names,fraction_obs,fraction_entries,fraction_entry_names,flux_obs,flux_entries,flux_entry_names,incubation_obs,incubation_entries,incubation_entry_names,interstitial_obs,interstitial_entries,interstitial_entry_names,has_layer,has_fraction,has_respiration,has_interstitial,eligible_fraction,eligible_pool_resp,eligible,eligibility_path
Mount Acuto 2,43.472,12.68,0,0,,12,1,De_Feudis_2019,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Mount San Vicino 1,42.321,13.05,0,0,,12,1,De_Feudis_2019,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Mount San Vicino 2,42.322,13.05,0,0,,12,1,De_Feudis_2019,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Mount Terminillo 1,42.471,12.98,0,0,,12,1,De_Feudis_2019,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Mount Terminillo 2,42.472,12.98,0,0,,12,1,De_Feudis_2019,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Mt. Lemmon Granite,32.418889,-110.735278,3,1,Heckman_2010,9,1,Heckman_2010,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Musick_Amador,38.5,-120.5,0,0,,28,1,Trumbore_1993,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
NE-450-C,-23.51110799,31.39929655,3,1,Khomo_2017,8,1,Khomo_2017,0,0,,6,1,Khomo_2017,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
NERP,41.841667,-88.241667,0,0,,23,1,Obrien_2013,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
NH Bartlett Forest,44.0647,-71.288,37,1,McFarlane_2013,30,1,McFarlane_2013,0,0,,6,1,Trumbore_inc_unpublished,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
NSA_FenTower,55.9148,-98.42072,0,0,,77,1,Trumbore_1999,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Nahuelbuta,-37.793595,-72.95066,40,1,Scheibe_2022,0,0,,0,0,,57,1,Scheibe_2022,0,0,,True,False,True,False,False,True,True,pool+respiration
