network,tower_id,tower_name,tower_lat,tower_lon,nearest_layer_site,nearest_layer_km,nearest_layer_obs,nearest_fraction_site,nearest_fraction_km,nearest_fraction_obs,nearest_flux_site,nearest_flux_km,nearest_flux_obs,nearest_incubation_site,nearest_incubation_km,nearest_incubation_obs,nearest_interstitial_site,nearest_interstitial_km,nearest_interstitial_obs,nearest_eligible_path,nearest_eligible_site,nearest_eligible_km,nearest_fraction_path_site,nearest_fraction_path_km,nearest_pool_resp_path_site,nearest_pool_resp_path_km,eligible_within_1km,eligible_within_25km
AmeriFlux,US-PFh,NE2 Pine-3 CHEESEHEAD 2019,45.9557,-90.2406,Willow Creek,20.789382806660043,23,S1_Bog_MEF,299.4568495733857,27,Dinesen,621.2461865200303,7,Willow Creek,20.789382806660043,26,TH_Young_Jack_Pine,1238.9358635610033,8,pool+respiration,Willow Creek,20.789382806660043,S1_Bog_MEF,299.4568495733857,Willow Creek,20.789382806660043,False,True
AmeriFlux,US-SuM,Maui Sugarcane Middle,20.7981,-156.454,Maui,21.235401472920554,36,Maui,21.235401472920554,18,Sedgwick Reserve,3874.331004673877,9,Maui,21.235401472920554,90,Sedgwick Reserve,3874.331004673877,29,fraction|pool+respiration,Maui,21.235401472920554,Maui,21.235401472920554,Maui,21.235401472920554,False,True
AmeriFlux,US-PFa,Park Falls/WLEF,45.9459,-90.2723,Willow Creek,21.545152353445616,23,S1_Bog_MEF,298.1355687529849,27,Dinesen,618.7912221049195,7,Willow Creek,21.545152353445616,26,TH_Young_Jack_Pine,1238.938610011744,8,pool+respiration,Willow Creek,21.545152353445616,S1_Bog_MEF,298.1355687529849,Willow Creek,21.545152353445616,False,True
AmeriFlux,US-PFn,SW4 Hardwood-3 CHEESEHEAD 2019,45.9392,-90.2823,Willow Creek,21.56951036981507,23,S1_Bog_MEF,297.9631667585663,27,Dinesen,617.7199135347753,7,Willow Creek,21.56951036981507,26,TH_Young_Jack_Pine,1239.3074549458447,8,pool+respiration,Willow Creek,21.56951036981507,S1_Bog_MEF,297.9631667585663,Willow Creek,21.56951036981507,False,True
AmeriFlux,US-PFm,SW3 Hardwood-2 CHEESEHEAD 2019,45.9207,-90.3099,Willow Creek,21.91190196129791,23,S1_Bog_MEF,297.5063785839648,27,Dinesen,614.7622082264023,7,Willow Creek,21.91190196129791,26,TH_Young_Jack_Pine,1240.3296310448318,8,pool+respiration,Willow Creek,21.91190196129791,S1_Bog_MEF,297.5063785839648,Willow Creek,21.91190196129791,False,True
AmeriFlux,US-PFi,NE3 Hardwood-1 CHEESEHEAD 2019,45.9749,-90.2327,Willow Creek,22.203403824573982,23,S1_Bog_MEF,298.692084090093,27,Dinesen,623.236252603889,7,Willow Creek,22.203403824573982,26,TH_Young_Jack_Pine,1237.2336699463901,8,pool+respiration,Willow Creek,22.203403824573982,S1_Bog_MEF,298.692084090093,Willow Creek,22.203403824573982,False,True
AmeriFlux,US-PFf,NW5 Grass-1 CHEESEHEAD 2019,45.9458,-90.2944,Willow Creek,22.753930237472474,23,S1_Bog_MEF,296.7743302409709,27,Dinesen,617.6362779356456,7,Willow Creek,22.753930237472474,26,TH_Young_Jack_Pine,1238.2582620442972,8,pool+respiration,Willow Creek,22.753930237472474,S1_Bog_MEF,296.7743302409709,Willow Creek,22.753930237472474,False,True
AmeriFlux,US-Pnp,"Lake Mendota, Picnic Point Site",43.0896,-89.4158,ARL,23.11498022759875,24,NERP,168.90704853422397,23,Dinesen,505.22805534472906,7,ARL,23.11498022759875,24,HarvardForest,1404.5706204772123,113,pool+respiration,ARL,23.11498022759875,NERP,168.90704853422397,ARL,23.11498022759875,False,True
AmeriFlux,US-DBk,Berkeley Way West,37.8736,-122.2684,Santa Cruz,101.44324602446954,58,Tennessee Valley,23.298130784827904,88,Musick,280.760022886403,16,Hopland_Buck,143.5568094272955,3,Sedgwick Reserve,405.0155590159295,29,fraction,Tennessee Valley,23.298130784827904,Tennessee Valley,23.298130784827904,Hopland_Buck,143.5568094272955,False,True
AmeriFlux,US-PFk,SW1 Aspen-2 CHEESEHEAD 2019,45.9149,-90.3425,Willow Creek,23.67301142994457,23,S1_Bog_MEF,295.90374258106243,27,Dinesen,612.5933265688828,7,Willow Creek,23.67301142994457,26,TH_Young_Jack_Pine,1239.9078417154683,8,pool+respiration,Willow Creek,23.67301142994457,S1_Bog_MEF,295.90374258106243,Willow Creek,23.67301142994457,False,True
AmeriFlux,US-PFL,SW2 Aspen-3 CHEESEHEAD 2019,45.9409,-90.3177,Willow Creek,23.75449133505089,23,S1_Bog_MEF,295.66470350814757,27,Dinesen,616.0253408339315,7,Willow Creek,23.75449133505089,26,TH_Young_Jack_Pine,1238.0306270724777,8,pool+respiration,Willow Creek,23.75449133505089,S1_Bog_MEF,295.66470350814757,Willow Creek,23.75449133505089,False,True
AmeriFlux,US-PFg,NE1 Pine-2 CHEESEHEAD 2019,45.9735,-90.2723,Willow Creek,23.85483685748756,23,S1_Bog_MEF,296.31050583160544,27,Dinesen,621.0675425192859,7,Willow Creek,23.85483685748756,26,TH_Young_Jack_Pine,1236.1326046411587,8,pool+respiration,Willow Creek,23.85483685748756,S1_Bog_MEF,296.31050583160544,Willow Creek,23.85483685748756,False,True
AmeriFlux,US-Men,"Lake Mendota, Center for Limnology Site",43.0772,-89.403,ARL,24.382291412925998,24,NERP,167.18119485979133,23,Dinesen,505.85888131077127,7,ARL,24.382291412925998,24,HarvardForest,1403.614788287306,113,pool+respiration,ARL,24.382291412925998,NERP,167.18119485979133,ARL,24.382291412925998,False,True
AmeriFlux,US-PFd,NW3 Tussock-1 CHEESEHEAD 2019,45.9689,-90.301,Willow Creek,24.927141696113114,23,S1_Bog_MEF,294.82903539602535,27,Dinesen,619.2042726950755,7,Willow Creek,24.927141696113114,26,TH_Young_Jack_Pine,1235.7024378564365,8,pool+respiration,Willow Creek,24.927141696113114,S1_Bog_MEF,294.82903539602535,Willow Creek,24.927141696113114,False,True
