ecosystem,observation_subset,draw,year,carbon_loss,excess_respiration,slow_excess_respiration,slow_fraction_of_excess_respiration
Barrow,stocks_soil14c,1,100,1479.8427734375,1479.0952766332507,95.2911648001,0.06442530532380839
Barrow,stocks_soil14c,2,100,1445.8055419921875,1447.086158042709,76.81225294501562,0.05308063553652525
Barrow,stocks_soil14c,3,100,1411.12353515625,1412.400683753113,81.6404597325226,0.05780261980303127
Barrow,stocks_soil14c,4,100,1411.12353515625,1412.400683753113,81.6404597325226,0.05780261980303127
Barrow,stocks_soil14c,5,100,1415.5782470703125,1416.773166361192,80.60966165008783,0.056896660357510766
Barrow,stocks_soil14c,6,100,1434.150146484375,1434.1519407916016,98.14376256285703,0.06843330875296597
Barrow,stocks_soil14c,7,100,1406.8328857421875,1406.016391080035,90.4152881316788,0.06430599863933739
Barrow,stocks_soil14c,8,100,1443.9986572265625,1443.2896612241695,101.11393658243493,0.07005796500798883
Barrow,stocks_soil14c,9,100,1438.56298828125,1438.439744437102,95.07604877526055,0.06609665030666002
Barrow,stocks_soil14c,10,100,1438.56298828125,1438.439744437102,95.07604877526055,0.06609665030666002
Barrow,stocks_soil14c,11,100,1438.56298828125,1438.439744437102,95.07604877526055,0.06609665030666002
Barrow,stocks_resp14c,0,100,2011.7412109375,2012.0111239809944,136.0886963069603,0.0676381430922177
Barrow,stocks_resp14c,1,100,2011.7412109375,2012.0111239809944,136.0886963069603,0.0676381430922177
Barrow,stocks_resp14c,2,100,2083.2625122070312,2083.217249973273,144.1488003461696,0.06919527972803556
Barrow,stocks_resp14c,3,100,1891.8840942382812,1891.9186845798815,123.73359606711642,0.06540111743470235
Barrow,stocks_resp14c,4,100,2145.3086547851562,2145.41858219268,149.09176209375045,0.0694930878902775
Barrow,stocks_resp14c,5,100,2081.7518920898438,2082.4375195502266,135.46798867514946,0.06505260657443801
Barrow,stocks_resp14c,6,100,2196.53662109375,2197.2336854050714,121.00634182468758,0.055072131211377925
Barrow,stocks_resp14c,7,100,2269.7600708007812,2270.3248539885185,115.72944935818302,0.05097484139984149
Barrow,stocks_resp14c,8,100,2242.8514404296875,2243.0265522893305,97.78099799374837,0.043593330580036525
Barrow,stocks_resp14c,9,100,2242.8514404296875,2243.0265522893305,97.78099799374837,0.043593330580036525
Barrow,stocks_resp14c,10,100,2238.888671875,2238.437746341258,113.10044580565926,0.0505265093883101
Barrow,stocks_resp14c,11,100,2238.888671875,2238.437746341258,113.10044580565926,0.0505265093883101
Barrow,all_observations,0,100,1274.7321166992188,1274.6828870823683,95.80343882306158,0.07515864517672063
Barrow,all_observations,1,100,1274.7321166992188,1274.6828870823683,95.80343882306158,0.07515864517672063
