ecosystem,model_source,draw_or_member,mode,turnover_time_years,carbon_stock,baseline_respiration,warm_respiration,cumulative_carbon_loss,slow_carbon_fraction_of_excess_respiration
Eight-mile Lake,observation_constrained,1,intermediate,42.332503147872785,5514.80322265625,36.40954001058407,36.40954001058407,656.80419921875,0.0
Eight-mile Lake,observation_constrained,1,slow,1127.249305775628,10237.666015625,2.7139497675644044,2.7139497675644044,6.3798828125,0.01641278539536638
Eight-mile Lake,observation_constrained,2,fast,23.858996673067935,21521.232421875,232.82021674149112,232.82021674149112,7756.77734375,0.0
Eight-mile Lake,observation_constrained,2,intermediate,42.332503147872785,5514.80322265625,36.40954001058407,36.40954001058407,656.80419921875,0.0
Eight-mile Lake,observation_constrained,2,slow,1127.249305775628,10237.666015625,2.7139497675644044,2.7139497675644044,6.3798828125,0.01641278539536638
Eight-mile Lake,observation_constrained,3,fast,23.893425102296717,21552.28515625,229.55036664250673,229.55036664250673,7762.4521484375,0.0
Eight-mile Lake,observation_constrained,3,intermediate,39.49659560772062,5573.63427734375,39.597369449483004,39.597369449483004,699.205078125,0.0
Eight-mile Lake,observation_constrained,3,slow,1130.6903389090232,10531.51171875,2.783350203177954,2.783350203177954,7.58984375,0.016726733964531573
Eight-mile Lake,observation_constrained,4,fast,23.87146896624221,21532.48046875,225.504475756374,225.504475756374,7758.830078125,0.0
Eight-mile Lake,observation_constrained,4,intermediate,36.725314910233585,5674.98046875,43.81160216737075,43.81160216737075,752.13623046875,0.0
Eight-mile Lake,observation_constrained,4,slow,1228.8015081017681,10684.119140625,2.598231272733507,2.598231272733507,7.80078125,0.015515816970746664
Eight-mile Lake,observation_constrained,5,fast,23.87146896624221,21532.48046875,225.504475756374,225.504475756374,7758.830078125,0.0
Eight-mile Lake,observation_constrained,5,intermediate,36.725314910233585,5674.98046875,43.81160216737075,43.81160216737075,752.13623046875,0.0
Eight-mile Lake,observation_constrained,5,slow,1228.8015081017681,10684.119140625,2.598231272733507,2.598231272733507,7.80078125,0.015515816970746664
Eight-mile Lake,observation_constrained,6,fast,23.87146896624221,21532.48046875,225.504475756374,225.504475756374,7758.830078125,0.0
Eight-mile Lake,observation_constrained,6,intermediate,36.725314910233585,5674.98046875,43.81160216737075,43.81160216737075,752.13623046875,0.0
Eight-mile Lake,observation_constrained,6,slow,1228.8015081017681,10684.119140625,2.598231272733507,2.598231272733507,7.80078125,0.015515816970746664
Eight-mile Lake,observation_constrained,7,fast,23.876477925191097,21537.0,224.36744102294995,224.36744102294995,7759.677734375,0.0
Eight-mile Lake,observation_constrained,7,intermediate,36.30243707043833,5746.484375,45.089573574265074,45.089573574265074,768.08349609375,0.0
Eight-mile Lake,observation_constrained,7,slow,1225.8729685268468,10065.12890625,2.453548702617938,2.453548702617938,7.373046875,0.01462199197604613
Eight-mile Lake,observation_constrained,8,fast,23.876477925191097,21537.0,224.36744102294995,224.36744102294995,7759.677734375,0.0
Eight-mile Lake,observation_constrained,8,intermediate,36.30243707043833,5746.484375,45.089573574265074,45.089573574265074,768.08349609375,0.0
Eight-mile Lake,observation_constrained,8,slow,1225.8729685268468,10065.12890625,2.453548702617938,2.453548702617938,7.373046875,0.01462199197604613
Eight-mile Lake,observation_constrained,9,fast,23.876477925191097,21537.0,224.36744102294995,224.36744102294995,7759.677734375,0.0
Eight-mile Lake,observation_constrained,9,intermediate,36.30243707043833,5746.484375,45.089573574265074,45.089573574265074,768.08349609375,0.0
Eight-mile Lake,observation_constrained,9,slow,1225.8729685268468,10065.12890625,2.453548702617938,2.453548702617938,7.373046875,0.01462199197604613
Eight-mile Lake,observation_constrained,10,fast,23.774094716958942,21444.6484375,230.80788571781005,230.80788571781005,7742.6552734375,0.0
Eight-mile Lake,observation_constrained,10,intermediate,42.31595410086531,5794.42236328125,39.04632869333658,39.04632869333658,691.92236328125,0.0
