ecosystem,observation_subset,observation_subset_label,draw,q10,delta_temperature_c,year,mode,control_carbon,warm_carbon,control_respiration,warm_respiration,cumulative_control_respiration,cumulative_warm_respiration
Barrow,prior_only,Prior,0,2.0,4.0,10,intermediate,9197.998046875,9091.1279296875,194.91711822992283,391.9858317975565,194.91711822992283,391.9858317975565
Barrow,prior_only,Prior,0,2.0,4.0,50,intermediate,8418.69921875,7733.0166015625,1422.1368476957969,2113.6792252773957,1422.1368476957969,2113.6792252773957
Barrow,prior_only,Prior,0,2.0,4.0,100,intermediate,7489.35546875,6324.744140625,2700.5264650390495,3863.13743536395,2700.5264650390495,3863.13743536395
Barrow,prior_only,Prior,0,2.0,4.0,10,slow,5836.85400390625,5836.12744140625,3.158103339645975,10.148187090995375,3.158103339645975,10.148187090995375
Barrow,prior_only,Prior,0,2.0,4.0,50,slow,5844.8369140625,5838.03271484375,33.82626246508171,62.235018138301626,33.82626246508171,62.235018138301626
Barrow,prior_only,Prior,0,2.0,4.0,100,slow,5850.81396484375,5830.35888671875,68.0612265827825,124.94904087199089,68.0612265827825,124.94904087199089
Barrow,prior_only,Prior,1,2.0,4.0,10,fast,542.407470703125,295.0179748535156,579.9056154154373,778.581427065659,579.9056154154373,778.581427065659
Barrow,prior_only,Prior,1,2.0,4.0,50,fast,149.16334533691406,98.808837890625,1792.6762615039652,1833.0591476167979,1792.6762615039652,1833.0591476167979
Barrow,prior_only,Prior,1,2.0,4.0,100,fast,282.9303283691406,183.44480895996094,3045.581536538093,3125.554966101923,3045.581536538093,3125.554966101923
Barrow,prior_only,Prior,1,2.0,4.0,10,intermediate,3572.435546875,3464.9716796875,150.88784691038595,301.0682186183934,150.88784691038595,301.0682186183934
Barrow,prior_only,Prior,1,2.0,4.0,50,intermediate,2934.504638671875,2478.588134765625,1049.9542845048572,1498.8288431580386,1049.9542845048572,1498.8288431580386
Barrow,prior_only,Prior,1,2.0,4.0,100,intermediate,2364.102783203125,1725.2685546875,1893.3107452029444,2527.711415278716,1893.3107452029444,2527.711415278716
Barrow,prior_only,Prior,1,2.0,4.0,10,slow,9048.2099609375,9047.4853515625,2.918364243446412,9.378082439529734,2.918364243446412,9.378082439529734
Barrow,prior_only,Prior,1,2.0,4.0,50,slow,9053.7412109375,9044.193359375,31.246044259106874,57.49311861485758,31.246044259106874,57.49311861485758
Barrow,prior_only,Prior,1,2.0,4.0,100,slow,9053.6162109375,9024.779296875,62.83961270357982,115.3768079378389,62.83961270357982,115.3768079378389
Barrow,prior_only,Prior,2,2.0,4.0,10,fast,634.7964477539062,359.1829528808594,585.224559080357,803.8610975138481,585.224559080357,803.8610975138481
Barrow,prior_only,Prior,2,2.0,4.0,50,fast,170.350830078125,111.96024322509766,1839.5106008004914,1885.7732147654265,1839.5106008004914,1885.7732147654265
Barrow,prior_only,Prior,2,2.0,4.0,100,fast,309.2792663574219,203.91896057128906,3072.804278806565,3156.4480183722494,3072.804278806565,3156.4480183722494
Barrow,prior_only,Prior,2,2.0,4.0,10,intermediate,10513.140625,10403.12890625,152.33016263092378,306.4473112533268,152.33016263092378,306.4473112533268
Barrow,prior_only,Prior,2,2.0,4.0,50,intermediate,9794.625,9202.78125,1117.086846916702,1675.5651413723954,1117.086846916702,1675.5651413723954
Barrow,prior_only,Prior,2,2.0,4.0,100,intermediate,8997.0888671875,7950.9111328125,2149.866229870734,3137.4942838793845,2149.866229870734,3137.4942838793845
Barrow,prior_only,Prior,2,2.0,4.0,10,slow,13450.1337890625,13448.666015625,6.370858538090621,20.472189165427018,6.370858538090621,20.472189165427018
Barrow,prior_only,Prior,2,2.0,4.0,50,slow,13466.40234375,13454.8193359375,68.23085002029241,125.54617624644627,68.23085002029241,125.54617624644627
Barrow,prior_only,Prior,2,2.0,4.0,100,slow,13481.0908203125,13446.9716796875,137.28152705418535,252.1116490073013,137.28152705418535,252.1116490073013
Barrow,prior_only,Prior,3,2.0,4.0,10,fast,2061.603515625,1564.0963134765625,666.8019164917882,1064.1208672365442,666.8019164917882,1064.1208672365442
Barrow,prior_only,Prior,3,2.0,4.0,50,fast,643.8330078125,376.0570983886719,2690.2815517142953,2904.070038632026,2690.2815517142953,2904.070038632026
Barrow,prior_only,Prior,3,2.0,4.0,100,fast,673.1675415039062,459.5985107421875,4018.591829590601,4189.129246837298,4018.591829590601,4189.129246837298
Barrow,prior_only,Prior,3,2.0,4.0,10,intermediate,4463.8271484375,4401.0380859375,153.53208849941174,308.47250185292796,153.53208849941174,308.47250185292796
Barrow,prior_only,Prior,3,2.0,4.0,50,intermediate,3966.61572265625,3481.59228515625,1111.3891987759519,1624.326829806062,1111.3891987759519,1624.326829806062
Barrow,prior_only,Prior,3,2.0,4.0,100,intermediate,3304.8310546875,2534.920166015625,2059.4303799329273,2833.174598870369,2059.4303799329273,2833.174598870369
Barrow,prior_only,Prior,3,2.0,4.0,10,slow,13741.880859375,13740.916015625,3.9813328380010704,12.793979796558531,3.9813328380010704,12.793979796558531
Barrow,prior_only,Prior,3,2.0,4.0,50,slow,13751.3017578125,13741.7021484375,42.6267481034341,78.4430058514263,42.6267481034341,78.4430058514263
