site,label,biome,biome_group,family,n_obs_family,param,shapley_dfs
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,fraction_14C,0,tau_slow,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,resp_14C,0,f_a_to_s,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,resp_14C,0,f_s_to_p,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,resp_14C,0,tau_active,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,resp_14C,0,tau_passive,0.0
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,resp_14C,0,tau_slow,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,C_stocks,1,f_a_to_s,0.20669207746930995
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,C_stocks,1,f_s_to_p,0.07394525239650247
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,C_stocks,1,tau_active,0.016264918191270926
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,C_stocks,1,tau_passive,0.08657267788387905
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,C_stocks,1,tau_slow,0.09610359256122873
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,ER_annual,0,f_a_to_s,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,ER_annual,0,f_s_to_p,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,ER_annual,0,tau_active,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,ER_annual,0,tau_passive,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,ER_annual,0,tau_slow,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,bulk_14C,1,f_a_to_s,0.003892350932147036
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,bulk_14C,1,f_s_to_p,0.12755105481329262
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,bulk_14C,1,tau_active,0.018627402540218455
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,bulk_14C,1,tau_passive,0.26553699412951903
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,bulk_14C,1,tau_slow,0.1791627853347363
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,fraction_12C,0,f_a_to_s,0.0
